S/N,State,Hospital Name,Disease,Total Visits,Reported Cases,Month,Year,Date
230,Lagos,LASUTH - Lagos State University Teaching Hospital,Tuberculosis,55701,15963,September,2000,"Friday, September 1, 2000"
231,Lagos,LASUTH - Lagos State University Teaching Hospital,Lassa Fever,63100,27040,December,2006,"Friday, December 1, 2006"
232,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Measles,46103,12253,October,2024,"Tuesday, October 1, 2024"
233,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,28310,13431,January,2014,"Wednesday, January 1, 2014"
234,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,62467,18791,August,2022,"Monday, August 1, 2022"
235,Enugu,UNTH - University of Nigeria Teaching Hospital,Malaria,76904,16713,December,2000,"Friday, December 1, 2000"
236,Bayelsa,FMC Yenagoa - Federal Medical Centre,Lassa Fever,9598,4167,December,2012,"Saturday, December 1, 2012"
237,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,71141,20491,December,2014,"Monday, December 1, 2014"
238,Lagos,LASUTH - Lagos State University Teaching Hospital,Lassa Fever,36388,287,September,2002,"Sunday, September 1, 2002"
239,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,77405,11210,April,2010,"Thursday, April 1, 2010"
240,Ogun,FMC Abeokuta - Federal Medical Centre,Lassa Fever,20274,5331,March,2016,"Tuesday, March 1, 2016"
241,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,68897,23582,June,2013,"Saturday, June 1, 2013"
242,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,42448,6036,February,2023,"Wednesday, February 1, 2023"
243,Ogun,FMC Abeokuta - Federal Medical Centre,Lassa Fever,75990,24980,July,2006,"Saturday, July 1, 2006"
244,Edo,UBTH - University of Benin Teaching Hospital,Malaria,21020,9750,December,2006,"Friday, December 1, 2006"
245,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,54492,3594,December,2016,"Thursday, December 1, 2016"
246,Delta,DELTA FMC - Federal Medical Centre Asaba,Cholera,59892,13602,December,2024,"Sunday, December 1, 2024"
247,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,33922,418,February,2016,"Monday, February 1, 2016"
248,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,34034,13756,December,2020,"Tuesday, December 1, 2020"
249,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,77004,21406,June,2008,"Sunday, June 1, 2008"
250,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,66086,29253,May,2021,"Saturday, May 1, 2021"
251,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,7127,476,October,2018,"Monday, October 1, 2018"
252,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Cholera,21970,2646,November,2021,"Monday, November 1, 2021"
253,Lagos,LASUTH - Lagos State University Teaching Hospital,Measles,75261,3206,December,2009,"Tuesday, December 1, 2009"
254,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Lassa Fever,47133,14307,December,2022,"Thursday, December 1, 2022"
255,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,66588,11949,May,2005,"Sunday, May 1, 2005"
256,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,31954,7138,June,2016,"Wednesday, June 1, 2016"
257,Nasarawa,FMC Keffi - Federal Medical Centre,Cholera,10000,996,February,2017,"Wednesday, February 1, 2017"
258,Ogun,FMC Abeokuta - Federal Medical Centre,Tuberculosis,52871,7169,June,2012,"Friday, June 1, 2012"
259,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Lassa Fever,4307,1885,September,2022,"Thursday, September 1, 2022"
260,Lagos,LASUTH - Lagos State University Teaching Hospital,Measles,21354,2294,February,2014,"Saturday, February 1, 2014"
261,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,22090,9745,December,2011,"Thursday, December 1, 2011"
262,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,13385,747,April,2022,"Friday, April 1, 2022"
263,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,8548,3828,July,2010,"Thursday, July 1, 2010"
264,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,45309,13764,July,2008,"Tuesday, July 1, 2008"
265,Edo,UBTH - University of Benin Teaching Hospital,Lassa Fever,59518,24971,April,2024,"Monday, April 1, 2024"
266,Imo,FMC Owerri - Federal Medical Centre,Typhoid,59246,17894,September,2018,"Saturday, September 1, 2018"
267,Kogi,FMC Lokoja - Federal Medical Centre,Cholera,1673,779,February,2022,"Tuesday, February 1, 2022"
268,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,25959,4643,June,2002,"Saturday, June 1, 2002"
269,Plateau,BUTH - Bingham University Teaching Hospital,Malaria,23049,7567,April,2008,"Tuesday, April 1, 2008"
270,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,3156,146,July,2001,"Sunday, July 1, 2001"
271,Abia,FMC Umuahia - Federal Medical Centre,Malaria,39682,4213,July,2012,"Sunday, July 1, 2012"
272,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,55685,17837,December,2021,"Wednesday, December 1, 2021"
273,Ogun,FMC Abeokuta - Federal Medical Centre,Typhoid,2869,1221,February,2004,"Sunday, February 1, 2004"
274,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,40363,17915,November,2003,"Saturday, November 1, 2003"
275,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,48186,22913,March,2002,"Friday, March 1, 2002"
276,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,2973,1052,October,2006,"Sunday, October 1, 2006"
277,Kogi,FMC Lokoja - Federal Medical Centre,Malaria,16585,1134,August,2021,"Sunday, August 1, 2021"
278,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Malaria,3174,1552,August,2014,"Friday, August 1, 2014"
279,Imo,FMC Owerri - Federal Medical Centre,Measles,52991,11884,February,2009,"Sunday, February 1, 2009"
280,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,6012,252,June,2023,"Thursday, June 1, 2023"
281,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,60160,18250,January,2018,"Monday, January 1, 2018"
282,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,25736,6006,February,2019,"Friday, February 1, 2019"
283,Lagos,LUTH - Lagos University Teaching Hospital,Measles,34093,16163,December,2007,"Saturday, December 1, 2007"
284,Lagos,LUTH - Lagos University Teaching Hospital,Cholera,79119,19623,May,2003,"Thursday, May 1, 2003"
285,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,54620,6440,March,2016,"Tuesday, March 1, 2016"
286,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,5711,810,May,2003,"Thursday, May 1, 2003"
287,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,17892,607,October,2016,"Saturday, October 1, 2016"
288,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,74764,28956,July,2006,"Saturday, July 1, 2006"
289,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,38149,16386,December,2015,"Tuesday, December 1, 2015"
290,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,25340,2864,August,2010,"Sunday, August 1, 2010"
291,Oyo,"UCH - University College Hospital, Ibadan",Typhoid,73595,5116,March,2022,"Tuesday, March 1, 2022"
292,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,73673,24972,August,2020,"Saturday, August 1, 2020"
293,Imo,FMC Owerri - Federal Medical Centre,Cholera,66467,7616,October,2011,"Saturday, October 1, 2011"
294,Oyo,"UCH - University College Hospital, Ibadan",Malaria,26800,12184,July,2010,"Thursday, July 1, 2010"
295,Edo,UBTH - University of Benin Teaching Hospital,Malaria,76694,17494,March,2002,"Friday, March 1, 2002"
296,Lagos,LUTH - Lagos University Teaching Hospital,Measles,25395,3970,June,2021,"Tuesday, June 1, 2021"
297,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,19689,8096,May,2011,"Sunday, May 1, 2011"
298,Oyo,"UCH - University College Hospital, Ibadan",Typhoid,44794,16915,June,2022,"Wednesday, June 1, 2022"
299,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,23361,8343,September,2020,"Tuesday, September 1, 2020"
300,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,40798,17890,June,2014,"Sunday, June 1, 2014"
301,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,58426,21746,September,2013,"Sunday, September 1, 2013"
302,Edo,UBTH - University of Benin Teaching Hospital,Cholera,62602,18075,April,2015,"Wednesday, April 1, 2015"
303,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,7999,3267,February,2002,"Friday, February 1, 2002"
304,Imo,FMC Owerri - Federal Medical Centre,Measles,24450,11243,March,2021,"Monday, March 1, 2021"
305,Abia,FMC Umuahia - Federal Medical Centre,Malaria,54915,4401,August,2013,"Thursday, August 1, 2013"
306,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Tuberculosis,72881,12154,October,2011,"Saturday, October 1, 2011"
307,Delta,DELTA FMC - Federal Medical Centre Asaba,Measles,15521,1435,July,2011,"Friday, July 1, 2011"
308,Bayelsa,FMC Yenagoa - Federal Medical Centre,Measles,18921,8252,February,2005,"Tuesday, February 1, 2005"
309,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,1798,348,May,2020,"Friday, May 1, 2020"
310,Delta,DELTA FMC - Federal Medical Centre Asaba,Lassa Fever,51080,985,May,2005,"Sunday, May 1, 2005"
311,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,75175,4261,February,2016,"Monday, February 1, 2016"
312,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,60303,21481,March,2016,"Tuesday, March 1, 2016"
313,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,68705,10591,June,2022,"Wednesday, June 1, 2022"
314,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,79925,14546,January,2011,"Saturday, January 1, 2011"
315,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,2935,529,April,2013,"Monday, April 1, 2013"
316,Abia,FMC Umuahia - Federal Medical Centre,Malaria,3900,1801,October,2024,"Tuesday, October 1, 2024"
317,Kogi,FMC Lokoja - Federal Medical Centre,Cholera,16459,6502,July,2015,"Wednesday, July 1, 2015"
318,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,65394,30608,January,2017,"Sunday, January 1, 2017"
319,Delta,DELTA FMC - Federal Medical Centre Asaba,Measles,56633,6362,April,2010,"Thursday, April 1, 2010"
320,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,2687,452,November,2015,"Sunday, November 1, 2015"
321,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,21219,2025,January,2004,"Thursday, January 1, 2004"
322,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,1000,177,September,2013,"Sunday, September 1, 2013"
323,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,74009,30859,June,2000,"Thursday, June 1, 2000"
324,Abia,FMC Umuahia - Federal Medical Centre,Lassa Fever,74888,20335,November,2021,"Monday, November 1, 2021"
325,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,74225,35069,October,2024,"Tuesday, October 1, 2024"
326,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Tuberculosis,41450,19313,December,2003,"Monday, December 1, 2003"
327,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,26558,2113,January,2020,"Wednesday, January 1, 2020"
328,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,78966,20360,October,2008,"Wednesday, October 1, 2008"
329,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,57464,8481,June,2014,"Sunday, June 1, 2014"
330,Nasarawa,FMC Keffi - Federal Medical Centre,Typhoid,75702,36662,January,2018,"Monday, January 1, 2018"
331,Abia,FMC Umuahia - Federal Medical Centre,Malaria,1558,261,May,2014,"Thursday, May 1, 2014"
332,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,43364,7649,October,2005,"Saturday, October 1, 2005"
333,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Tuberculosis,60171,22307,January,2006,"Sunday, January 1, 2006"
334,Lagos,LUTH - Lagos University Teaching Hospital,Typhoid,30376,3521,October,2001,"Monday, October 1, 2001"
335,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,26532,8862,December,2015,"Tuesday, December 1, 2015"
336,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,22826,1452,October,2002,"Tuesday, October 1, 2002"
337,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,52684,20340,August,2015,"Saturday, August 1, 2015"
338,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,76771,3203,September,2000,"Friday, September 1, 2000"
339,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,46474,18458,March,2004,"Monday, March 1, 2004"
340,Ogun,FMC Abeokuta - Federal Medical Centre,Cholera,11110,2411,May,2019,"Wednesday, May 1, 2019"
341,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,44510,10050,November,2022,"Tuesday, November 1, 2022"
342,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,59337,15093,June,2012,"Friday, June 1, 2012"
343,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,61805,28924,October,2024,"Tuesday, October 1, 2024"
344,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,24214,10565,October,2024,"Tuesday, October 1, 2024"
345,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,33293,8076,November,2009,"Sunday, November 1, 2009"
346,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,13454,1740,March,2013,"Friday, March 1, 2013"
347,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,24037,1062,June,2016,"Wednesday, June 1, 2016"
348,Ogun,FMC Abeokuta - Federal Medical Centre,Cholera,28495,4517,May,2007,"Tuesday, May 1, 2007"
349,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,43622,9143,June,2017,"Thursday, June 1, 2017"
350,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,27393,842,May,2005,"Sunday, May 1, 2005"
351,Edo,UBTH - University of Benin Teaching Hospital,Typhoid,71287,30697,January,2021,"Friday, January 1, 2021"
352,Delta,DELTA FMC - Federal Medical Centre Asaba,Measles,68710,18130,August,2009,"Saturday, August 1, 2009"
353,Edo,UBTH - University of Benin Teaching Hospital,Typhoid,79770,9659,August,2013,"Thursday, August 1, 2013"
354,Ogun,FMC Abeokuta - Federal Medical Centre,Cholera,7253,459,May,2011,"Sunday, May 1, 2011"
355,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,49716,16831,November,2007,"Thursday, November 1, 2007"
356,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,76321,1406,March,2014,"Saturday, March 1, 2014"
357,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,55468,4539,January,2001,"Monday, January 1, 2001"
358,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,73096,22197,March,2003,"Saturday, March 1, 2003"
359,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Tuberculosis,54999,11911,September,2017,"Friday, September 1, 2017"
360,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,58156,4630,January,2018,"Monday, January 1, 2018"
361,Oyo,"UCH - University College Hospital, Ibadan",Measles,13021,4002,January,2005,"Saturday, January 1, 2005"
362,Delta,DELTA FMC - Federal Medical Centre Asaba,Measles,2950,1024,February,2006,"Wednesday, February 1, 2006"
363,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,66806,11733,November,2001,"Thursday, November 1, 2001"
364,Ogun,FMC Abeokuta - Federal Medical Centre,Typhoid,62363,8590,February,2013,"Friday, February 1, 2013"
365,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,66496,9892,March,2004,"Monday, March 1, 2004"
366,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,64371,31924,December,2017,"Friday, December 1, 2017"
367,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Typhoid,26037,3833,March,2022,"Tuesday, March 1, 2022"
368,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,58433,15276,May,2007,"Tuesday, May 1, 2007"
369,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,26177,11776,August,2003,"Friday, August 1, 2003"
370,Delta,DELTA FMC - Federal Medical Centre Asaba,Lassa Fever,1511,141,February,2021,"Monday, February 1, 2021"
371,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,26347,3497,May,2010,"Saturday, May 1, 2010"
372,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,56282,22661,August,2019,"Thursday, August 1, 2019"
373,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Lassa Fever,14728,4626,December,2022,"Thursday, December 1, 2022"
374,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,51011,3685,January,2022,"Saturday, January 1, 2022"
375,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,8835,2260,April,2005,"Friday, April 1, 2005"
376,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,6954,1754,December,2001,"Saturday, December 1, 2001"
377,Lagos,LASUTH - Lagos State University Teaching Hospital,Tuberculosis,8762,448,September,2016,"Thursday, September 1, 2016"
378,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,11747,2390,May,2021,"Saturday, May 1, 2021"
379,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Cholera,2858,1019,January,2021,"Friday, January 1, 2021"
380,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,12107,210,April,2008,"Tuesday, April 1, 2008"
381,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,15909,3487,June,2003,"Sunday, June 1, 2003"
382,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,52856,3041,June,2004,"Tuesday, June 1, 2004"
383,Edo,UBTH - University of Benin Teaching Hospital,Measles,53329,4363,December,2021,"Wednesday, December 1, 2021"
384,Plateau,BUTH - Bingham University Teaching Hospital,Malaria,10546,920,August,2006,"Tuesday, August 1, 2006"
385,Kogi,FMC Lokoja - Federal Medical Centre,Typhoid,42799,12562,August,2011,"Monday, August 1, 2011"
386,Plateau,BUTH - Bingham University Teaching Hospital,Malaria,58494,8124,February,2008,"Friday, February 1, 2008"
387,Nasarawa,FMC Keffi - Federal Medical Centre,Lassa Fever,71028,2367,July,2018,"Sunday, July 1, 2018"
388,Edo,UBTH - University of Benin Teaching Hospital,Typhoid,14910,2538,September,2002,"Sunday, September 1, 2002"
389,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,21628,2786,November,2018,"Thursday, November 1, 2018"
390,Delta,DELTA FMC - Federal Medical Centre Asaba,Tuberculosis,12349,2787,September,2016,"Thursday, September 1, 2016"
391,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,75477,26179,November,2008,"Saturday, November 1, 2008"
